TagID,LastObs,AssignSpawnSite,AssignSpawnNode,TagPath,FacilityName,LadCode,PassDate,PassTime,SppCode,CarcassNo,PitTag,JvPitTag,Status,Origin,Age,Sex,Forklgth,Pohlgth,Mehlgth,Weight,AdClip
3DD.003D2F97CA,2020-03-21T20:47:39Z,SUN,SUNA0,"PRO, SUNA0",Prosser,pb,2019-10-17T00:00:00Z,-2209042080,wsth,NA,3DD.003D2F97CA,NA,PAS,NA,NA,F,58,NA,48,4.35,NA
3DD.003D2F97CC,2019-10-07T09:04:50Z,PRO,PRO,PRO,Prosser,pb,2019-10-07T00:00:00Z,-2209038480,wsth,NA,3DD.003D2F97CC,NA,PAS,NA,NA,F,66,NA,54,6,NA
3DD.003D2F97CD,2019-11-04T17:25:02Z,PRO,PRO,PRO,Prosser,pb,2019-11-04T00:00:00Z,-2209013280,wsth,NA,NA,3DD.003D2F97CD,PAS,NA,NA,F,58,NA,43,4.55,NA
3DD.003D2F97CE,2020-05-02T11:37:08Z,TAN,TANA0,"PRO, SUNA0, ROZB0, ROZA0, TANB0, TANA0, TANB0, TANA0, TANB0",Prosser,pb,2019-10-02T00:00:00Z,-2209045680,wsth,NA,3DD.003D2F97CE,NA,PAS,NA,NA,F,53,NA,43,2.85,NA
3DD.003D2F97CF,2020-01-25T08:33:23Z,SAT,SATA0,"PRO, SATB0, SATA0",Prosser,pb,2019-09-26T00:00:00Z,-2209042080,wsth,NA,3DD.003D2F97CF,NA,PAS,NA,NA,F,63,NA,53,5,NA
3DD.003D2F97D0,2020-02-11T01:53:37Z,SAT,SATA0,"PRO, SATB0, SATA0, SATB0, SATA0",Prosser,pb,2019-12-31T00:00:00Z,-2209045680,wsth,NA,3DD.003D2F97D0,NA,PAS,NA,NA,F,67,NA,53,5.15,NA
3DD.003D2F97D1,2020-04-19T00:54:49Z,TP2,TP2A0,"PRO, TOPB0, TOPA0, TP2B0, TP2A0, TP2B0, TOPA0, TOPB0, PRO",Prosser,pb,2020-01-10T00:00:00Z,-2209038480,wsth,NA,3DD.003D2F97D1,NA,PAS,NA,NA,F,71,NA,57,7.95,NA
3DD.003D2F97D2,2019-10-02T07:35:09Z,PRO,PRO,PRO,Prosser,pb,2019-10-02T00:00:00Z,-2209045680,wsth,NA,3DD.003D2F97D2,NA,PAS,NA,NA,F,65,NA,53,6.65,NA
3DD.003D2F97D3,2020-03-29T18:49:09Z,ROZ,ROZA0,"PRO, ROZB0, ROZA0, ROZB0, ROZA0, ROZB0, ROZA0, ROZB0, ROZA0, ROZB0, ROZA0",Prosser,pb,2019-10-19T00:00:00Z,-2209038480,wsth,NA,3DD.003D2F97D3,NA,PAS,NA,NA,M,75,NA,60,8.55,NA
3DD.003D2F97D4,2020-04-08T00:32:28Z,SUN,SUNA0,"PRO, SUNA0",Prosser,pb,2019-09-30T00:00:00Z,-2209042080,wsth,NA,3DD.003D2F97D4,NA,PAS,NA,NA,F,58,NA,47,3.65,NA
